user_id,movie_id,rating,timestamp
381,150,4,892697542
1,203,4,878542231
213,678,4,878870275
327,88,2,887819194
213,985,3,878955164
181,221,1,878962465
464,260,2,878354859
498,100,3,881955291
385,2,3,879446786
520,242,5,885168819
58,381,4,890321652
890,443,4,882404541
567,179,5,882426135
514,486,3,886189869
682,559,4,888522837
601,416,3,876350683
94,585,3,891723494
393,566,3,887745717
639,116,3,891239739
276,475,5,874786756
920,313,5,884219701
600,269,4,888451388
924,705,5,885457858
486,150,3,879874838
830,127,4,891464054
323,764,3,878739415
378,117,3,880044419
122,46,5,879270567
631,272,4,888464916
585,1449,5,891283338
463,103,1,890530703
34,1024,5,888602618
425,178,3,878737841
184,181,4,889907426
407,416,3,876348957
640,461,4,874777833
686,1184,1,879547337
552,147,3,879222412
877,732,4,882677898
537,340,4,886028604
657,327,1,884238247
642,72,4,885843087
174,1312,4,886434484
454,250,4,881959238
870,428,4,875050672
254,393,3,886473489
466,321,2,890282986
267,579,3,878973126
815,584,3,878696355
882,566,4,879876806
321,633,5,879440109
314,724,2,877888117
533,169,4,879438543
280,219,2,891702199
610,127,5,888702902
911,381,5,892839846
96,181,5,884403687
70,584,3,884150236
279,804,4,875744416
119,597,4,874775465
297,678,3,874954093
495,768,3,888636216
633,148,1,875326138
916,290,3,880845206
899,228,3,884121572
361,12,4,879441214
266,276,3,892258004
655,427,4,891585242
478,178,4,889388562
471,102,5,889828081
160,150,4,876767440
852,290,4,891036817
380,654,4,885478953
880,825,4,880167288
763,625,4,878923488
684,15,5,878759758
38,679,5,892432062
388,298,5,886436582
894,1658,4,882404137
825,546,5,880756603
477,739,4,875941191
406,202,3,880131704
533,118,4,879192792
843,161,2,879444891
450,195,4,882371826
151,162,5,879528779
268,210,3,875310571
724,1432,1,883758208
588,173,5,890024677
655,86,4,887650978
144,1169,4,888106044
661,762,2,876037121
592,320,5,882955735
345,1011,3,884991127
851,987,1,875730601
308,211,4,887737535
942,174,5,891283209
540,473,3,882157687
387,431,3,886483150
354,168,5,891218507
601,241,4,876350652
119,526,2,886177762
184,529,4,889909445
56,655,4,892676996
213,655,4,878956300
186,327,3,891717806
892,184,4,886609726
774,548,1,888558041
535,190,4,879617747
297,1014,3,874954845
454,238,3,881960361
90,1193,4,891384789
256,210,4,882164443
648,514,2,884796822
391,748,3,877398619
457,86,3,882397455
298,186,4,884183256
755,271,1,882570023
121,174,3,891388063
916,204,3,880844813
896,164,4,887159321
329,297,4,891655868
902,181,3,879464783
389,612,4,879991218
198,501,4,884209264
506,391,2,885135912
242,934,5,879741196
406,606,3,879445642
913,1,2,880758579
660,542,2,891201887
537,966,2,886032098
11,120,2,891903935
727,96,4,883710152
59,387,3,888206562
938,240,2,891356847
292,190,5,881105625
871,955,3,888193541
878,152,4,880870854
624,310,4,891961078
205,304,3,888284313
198,210,4,884207612
830,187,2,891464054
405,51,1,885546577
294,823,3,877820190
226,283,2,883889811
933,597,1,874939230
352,746,4,884290361
374,204,4,880395604
716,949,3,879796718
770,151,5,875973080
776,496,3,891628708
44,211,4,878347598
516,523,3,891290649
600,568,4,888451908
130,569,3,880396494
110,161,5,886988631
828,923,3,891037047
405,203,1,885548578
870,188,5,875050672
343,510,5,876408139
387,518,4,886483151
756,274,3,874829637
751,434,4,889297670
154,515,4,879138657
97,169,5,884238887
532,1407,2,874794386
735,475,4,876698570
598,349,4,886711452
889,1142,4,880176926
894,117,3,880416219
222,392,4,881059920
109,1210,3,880582230
862,81,5,879305237
589,327,3,883352535
26,274,3,891385634
14,15,4,879119390
295,115,5,879517135
739,98,3,886958972
642,71,5,886131547
902,8,5,879465765
632,568,3,879458142
880,780,3,880175157
919,15,5,875289250
717,1282,4,884642762
